author,base_url,subscribers,size,month_activity,profitability,date,prediction,text,ticker
vadya93,https://www.tinkoff.ru/invest/social/profile/vadya93,94871,от 10000000,38735,231.5,2024-04-19 05:38,0,"ТЕСТ на ХОМЯКА: ТОП-3 ошибки, из-за которых вы теряете деньги 

Друзья, решил сделать для вас краткий, но емкий тест на хомяка. Как и говорил, в канале я буду делиться и азами скальпинга для начинающих трейдеров. Опытным предлагаю не пролистывать, а сверяться и анализировать свою торговлю на предмет новичковых ошибок. Даже опытные трейдеры могут хомячить. Наверное старички канала помнят, как я налосил миллион из-за того, что начал менять план в полете. Вот это прям реальный пример, как не надо хомячить 

Ну что, разбираемся, на каких самых частых ошибках хомяки теряют свои деньги:

1. Каждая ваша сделка — это тестирование гипотезы 

Если вы залетаете на хайпе и надеетесь, что попрет — это вообще не трейдинг, а чушь какая-то, из-за которой вы сливаете деньги. Для настоящего трейдера каждая сделка — это тест гипотезы. Например, я — новичок и хочу протестировать гипотезу по торговле на новостях. Я готовлюсь к новости заранее и по факту выхода я оцениваю ее относительно ожиданий рынка. Если я принимаю решение зайти в сделку, то я зайду на 5% от депозита без плеча и допускаю убыток в 2%, а не ращу лося. 

Еще раз, каждая ваша сделка — это осмысленный тест гипотезы. В конце вы можете четко себе сказать — «Была идея Х — она сработала/не сработала».

2. Вы забываете о психологии толпы

Хомяк торгуется с графиком, а профессионал понимает, что его прибыль — это всегда чей-то убыток (который отдал хомяк по своей же воле). 
Например, на новости о сильных дивах вы сразу же влетаете и надеетесь забрать жирный профит — поздравляю, вы хомяк! Все потому что вы забыли о других игроках: а толпа по другому интерпретировала новость. И вы остались в минусе. 

Настоящий скальпер сразу же думает: «Как рынок оценивал дивы? Сколько хомяков зайдёт в эту новость?»

Отдельно писал про алгоритм из 5 шагов для торговли по новостям — вот тут https://www.tinkoff.ru/invest/social/profile/vadya93/20200191-82a7-4403-885f-2288968779d4?utm_source=share

 3. Вы заходите во вторую половину движения

Хомяк думает так: «Ого, как отросло, надо точно запрыгивать. Вроде бы и график хороший, и движение идет». А в итоге он остается в минусе, потому что им руководит чувство упущенной выгоды, а не профессионализм и вот почему. 

Движение определяется силой импульса — по стакану и принтам. И вот ты смотришь и видишь, а там есть еще куда залетать? Или уже все, иссекает? 
А хомяк не смотрел на стакан и принты, не определил середину движения и влетел во вторую половину. И ушел в минус. 

Запомните, видите движуху — значит вы ее пропустили, ждите начало следующей) 


Это 3 главных причины, из-за которых люди уходят с фонды, потому они не понимают, как здесь все работает, и почему они стабильно теряют деньги. Не допускайте эти ошибки и будет вам профит! 

_____________________________
Я перечислил 3 пункта, теперь интересно, а сколько у нас тут новичков. Проведем небольшую перекличку — отмечайте реакциями 

 — таких ошибок не допускаю
 — 1-2 ошибки
— пока что 3, хомячу",0
vadya93,https://www.tinkoff.ru/invest/social/profile/vadya93,94871,от 10000000,38735,231.5,2024-04-15 14:41,1,"САМАЯ ВАЖНАЯ ВЕЩЬ ЗА ИСТОРИЮ Vadya93

Друзья, самый важный разговор за всю историю моих постов. 

Я не ношу очки. 

И это капец как важно, даже если вам казалось, что это мелочь.

Как эти очки появились на моей аве? Почему если вы будете гуглить меня в интернете — я в суровом пиджаке, а в фильме от тинькофф — я сижу во вполне рядовой квартире в подмосковье, в футболочке? Почему я весь такой суровый на фотосессиях, а на фотографиях с мероприятий вечно ржу и никакого серьезного лица нет?
 
Чтобы вы поняли, мне надо начать 3 года назад. 

Когда мы запускали проект Vadya93, мне помогал «строить медийность» продюсер и партнер, Никита. Он учил меня писать посты, рассказал что людям интересно и как в целом стоит себя продвигать.

Мы с ним вместе создавали проект, нас было только двое, и мы нанимали первых сотрудников. Собирали сообщество, созванивались с людьми из аудитории и проводили «кастдевы», то есть изучали «клиента». Хотелось построить большой, серьезный бизнес, ведь у меня есть к этому тяга.

С тех пор все сильно изменилось, и мы выросли. Я не буду никого обманывать: посты мне часто помогает писать команда (хотя я надиктовываю всё что хочу сказать и контролирую это). У нас целый штат сотрудников, мы вместе принимали решения, куда двигаться дальше и что делать с проектом в целом.

Те самые очки на фотках появились вот как: команда опытных продюсеров сказала, что я больше похож на бандита из девяностых, лысый, бородатый, в трениках  Ну я в моменте даже согласился, типа наверное правда так. 

И появилось лицо Vadya93, которое было не совсем про меня. 

Но теперь, в 2024-м году, я уже другой человек. Из чувака с позой в 100 баксов я стал если не китом, то заметной касаткой на рынке, за каждым шагом в моем пульсе следят крупные инвесторы. Целый штат стремится делать для вас МНОГО материалов, чтобы было полезно и опытным, и совсем новичкам. Вырос и Никита: у него серьезный международный стартап, инвестором которого я являюсь. 

И мы поняли, что партнерство в старом формате скорее напрягает обоих, чем помогает. А ава в очках уже совсем далека от реальности, и мне не хочется казаться солиднее, чем я есть на самом деле. Депо и история сделок уже говорят сами за себя, хоть в трусах я буду на аватарке сидеть. 

Я почувствовал, что канал теряет былую искренность, хочется двигаться дальше и писать больше яркого, делать больше реально полезного, надеть человеческое лицо.

И мы приняли решение, что на этом этапе партнёрство с Никитой стоит прекратить, разойтись друзьями и ударить по рукам.

Я ПОЛНОСТЬЮ ВЫКУПИЛ «ПРОЕКТ» VADYA93.
Нет больше проекта, есть только Вадя.

Я не буду врать: команда сохраняется. Многие посты все еще будут писаться с моих слов «под диктовку», посты для новичков будут помогать мне писать умелые методисты. Мне все еще будут помогать преподы.

Но суть теперь сильно изменится. Я хочу полностью развернуться в сторону трейдерского сообщества и присматриваюсь к более классическим форматам: например, закрытому чатику, где буду общаться прямо, «со своими». Сделать свои появления в сообществе более ценными.

Щас меня распирает энтузиам, я уже думаю — а не написать ли вам серию статей. А не поделать ли разборы сделок. Может, просто делиться своими личными мыслями.

Но я очень боюсь на хайпе наобещать лишнего. Поэтому давайте скажу просто суть, как я теперь вижу проект.

Это место для начинающих и опытных трейдеров, где целая бригада людей будет стараться сделать так, чтобы рынок стал для вас ПОНЯТНЫМ, ОЧЕНЬ ПРОСТЫМ и ваще не серьезным.

Канал снова должен стать тем, что я веду по кайфу. А вы — забирайтесь на борт, поплывём в светлое будущее.

Всех обнял, надеюсь что для вас все станет только приятнее и доступнее. Следите за анонсами в ближайшем будущем!",VADYA93 
vadya93,https://www.tinkoff.ru/invest/social/profile/vadya93,94871,от 10000000,38735,231.5,2024-04-11 03:54,-1,"Рынок смотрится неплохо на фоне высказываний Набиуллиной

Друзья, я продвигаюсь в решении своих вопросов, все уже сделал, денег потратил, так что сил появилось сильно больше и снова могу вам вместо завтрака тут что-то писать 

Последние дни у нас росли преимущественно лишь ребята из первого эшелона, а все остальное стояло на месте, но вчера после Набиуллиной чутка стало повеселее и рынок рос уже широким фронтом.

Что я приметил:
1. $ABRD  - подошла к свой древней отметке, которая была давным-давно. Я сам набрал небольшую (!) позицию с переносом, но поджим очень красивый. Там засело пару каналов, которые упорно не хотели закрывать в минус, это может тормозить рост, но в целом, они ждут выше, так что можем и порасти.

2. $RUAL  не падал вчера даже на фоне падения алюминия, в моменте пролился, но.... не более того. Его младший собрат ЕНПГ не особо остался на своих максимумах, а вот РусАл вообще не хочет падать. Так что когда СТОЛЬКО выкупают на уровнях - обычно газ продолжается, ну либо как минимум проторговка.

3. $TCSG  выстрадал свой уровень и вчера на уровне 3100 и ниже прошло просто какое-то космическое число лотов  Покупатель был в шоке, бегал согласовывать что надо докупать еще и в итоге за первый час торгов 600К лотов поменяли своего владельца. В целом, есть подозрение, что продавца, который уже устал сдавать - выкупили, причем выкупили весьма дорого и явно не для того, чтобы ехать вниз. Так что лишь вопрос времени, когда Тинек начнет газовать.

Друзья, в общем и целом, рынок мне нравится, я тут вчера еще и заработал на $TGKN 4 миллиона, тупо загрузив фулл и уехав решать дела. Хотите услышать эту историю? 600 лайков и го.

P.S. Кстати в Тиньке понизили плечи в шорт, что на Абрау, что на РусАл, я не думаю что в Абрау есть шортисты, но в РусАле точно сидят.",ABRD 
vadya93,https://www.tinkoff.ru/invest/social/profile/vadya93,94871,от 10000000,38735,231.5,2024-04-06 13:37,1," Мошеннические схемы портят вам торговлю в стакане
(и как на это не попадаться)

Пришла мне в голову мысль - постоянно пишу о торговле в стакане, но ни разу не рассказывал, что часто в нём происходит какая-то муть.

Смотрите: по моим рассказам может показаться, что торговля в стакане это 100% реальность и там не может быть разводок. Это не так. Со временем вы начнёте замечать, что в стакане вроде тишина, а потом откуда-то появляются большие объемы, пробивают важные уровни, а потом бесследно исчезают. 

Это что за аномалия? Рассказываю.

Сидит так называемый спуфер. И он (как правило с помощью ботов) выставляет в стакане лимитные заявки, чтобы все подумали, что спрос сейчас зашкаливает. Другие трейдеры видят это и пытаются оседлать тренд.

Вот только лимитные заявки — ещё не исполненные. И они так же легко снимаются, как выставляются. И когда нужный поток пошёл, спуфер тем же ботом снимает все свои заявки, а движение резко разворачивается обратно.

Давайте приведу пример.
1⃣ Возьмем некую акцию «А». Спуфер хочет купить ее по 100 рублей, но цена сейчас 102 и ему надо прогнуть рынок. 

2⃣ Он выставляет заявку на продажу 1000 акций по 118, затем еще 500 акций по 117, еще по 116 итд. То есть стакан окрашивается в плотный красный. А в конце этой линии — его собственная настоящая заявка, по 100 рублей на покупку.

Схем несколько, заявки могут идти друг за другом, через или формировать плиту или несколько плит. 

3⃣ Толпа начинает думать, что продавцов на рынке полно, что-то видимо случилось, и тоже выставляют заявки на продажу. 

4⃣ Толпа уже гнет цену вниз, а заявки спуфера под шумок исчезают.

5⃣ Рынок макается вниз, доходит до 100 рублей и так как реальной глубины стакана не было, а заявки спуфера составили процентов 70-80 от общего количества, цена разворачивается вверх и спуфер тут же продает акции дороже 100 рублей, то есть выше его цены закупа.

6⃣ Естественно, это все происходит за секунды. Вы, тем временем, сварив себе вкусный и ароматный кофе, возвращаетесь за рабочий стол, а минуса на вашем счете отбивают все желание добавить в кружку сливок.

И как же быть? Что делать?
По факту сделать с этим вряд ли что-то получится. Людей, злоупотребляющих лимитными заявками, выслеживают брокерские компании и биржи, но от нас тут мало что зависит.

Защититься от этого можно только опытом: для наметанного глаза событие достаточно заметное. Когда вы видите, что объемы в стакане неадекватны ситуации, то стоит поглядеть на стакан поглубже. И мысленно проверить — а не слишком ли симметричные заявки лежат, не похоже ли это на действия бота.

Если на неделе появится такая ситуация — постараюсь её заскринить.",SPY 
vadya93,https://www.tinkoff.ru/invest/social/profile/vadya93,94871,от 10000000,38735,231.5,2024-04-05 03:34,-1,"Рыночек слили куда пониже на фоне...?

Друзья, много ли рынку надо, чтобы подслиться вниз на вечерке, в отсутствии покупателей?

Что у нас вчера вечером:
1. ФРС уже не хочет понижать ставку из-за отсутствия падения инфляции
2. Иран все грознее
3. Нефть выросла

Первые два пункта за падение, последний за рост. Сочиним конспирологическую теорию? 

Да кто его знает короче на чем слили рынок, в любом случае произошло это на минимальной ликвидности, но факт остается фактом - рынок сегодня откроется пониже, чем вчерашняя сессия. 

По итогу - ни одна из вчерашних моих заметок не отработала, вчера вообще был супер странный рынок. 
СовКом остался на месте, в $TCSG наторговали почти 5 ярдов и протащили чутка вниз, $ALRS все копит силы. 

Я для себя подметил тех, кто были в любом случае сильнее рынка:
1. $OZON - он опять отправился куда-то в космос, после проторговки, казалось что уже кульминация, но нет. Просто на секунду - сильные компании первые отскакивают как с рынка уходит страх

2. $MGNT - я его подобрал нормально так, там днем были айсберги выше 7900, а это верный признак набора позииции

3. $AQUA - вообще стоит как вкопанная, после того, как там произошел выход за зону продаж в 920, такое ощущение, что она постоит-постоит и отправится куда-то в сторону 1000

Друзья, при этом, поскольку рынок на вечерке был строго негативный, сегодня вчерашнее стояние ничего не гарантирует - проснутся ребята с позами и дозальют все до конца.

Так что сегодня пятница, впереди выходные, пятница в целом день фиксаций, но это не значит что ничего не будет расти. 

Тем не менее - будьте осторожны.",TCSG 
vadya93,https://www.tinkoff.ru/invest/social/profile/vadya93,94871,от 10000000,38735,231.5,2024-04-04 03:35,1,"Рынок у сопротивления, так ли все плохо?!

Друзья, с каждого утяга нынче драйв про то, что индекс подошел к верхней границе своего сопротивления, надо быть осторожными и все дела.
Я согласен 
НО, по сути у нас вернулась жизнь в третий эшелон, а индекс вполне себе может постоять в боковой коррекции. У нас сейчас на рынке - полноценное ралли, НИКТО НИЧЕГО ОСОБО не продает. Как пробили сопротивление - все бросились покупать. Помните, я вам драйвил, что если пройдем зону продаж - полетим? Ну пока летим 

Мне сложно делать вам подсветы, потому как я в большинстве позиций, что драйвятся - остаюсь с переносами и я так тихо балансирую между тем, чтобы драйвануть вам че и быть опять облитым потоком, что я тут рынок разгоняю.

Че делаем? Напишите в комментах.

По тому, где МЕНЯ НЕТ, но что мне нравится:
1. $ALRS  - она упала на свой уровень поддержки и благополучно от него отскочила, большой дядя не торопится пробивать 80, но очень технично все собирает, что проливается ниже.

2. $TCSG  - красиво упала в начале роста Сбера, сделала прострел за уровень покупателя и тот все выкупил обратно. Там охринительный покупатель есть, я не знаю, когда он поедет, но он собирает ВСЕ.

3. $SVCB  - оч красиво закрылся вверх, просто охринительно смотрится. Тут конечно подкатили идею, что у него целевая ниже по фундаменталу, но давайте помнить, что цена - это результат спора покупателя и продавца, так вот сейчас покупатель там явно выкупает все, а не просто так. 

Сам я держу - $KMAZ , $GLTR  прежде всего, как понимаете, если держу - то я верю в то, что все там не так плохо Но рассказывать почему, чтобы это было байтом - мне нахрен не сдалось.

Кстати, вчера ВСЕ ТРИ ПОДСВЕТА вылетели ",$ALRS 
vadya93,https://www.tinkoff.ru/invest/social/profile/vadya93,94871,от 10000000,38735,231.5,2024-04-03 03:28,-1,"Рынку выше некуда?

Друзья, в общем вчера рынок нормально так проторговался и показал, что в целом то силы у него есть.
Происходят непонятные движения, вроде $YNDX, который сливают сначала, а потом выкупают, выглядит это все весьма любопытно, но широкий рынок растет.

Что присмотрел на сегодня:
1. $AGRO - с легкостью пробила 2 уровня и откатила на уровень поддержки. Знаете, что бывает, когда физики торопятся вперед крупного игрока? Он их сбрасывает вниз в воду, большинство из них лосят и решают в акцию больше не лезть. Вот АГРО - пример набора позиции с повышающимися минимумами.

2. $BSPB - пробила свой исторический максимум, конечно сделала это на вечерке, так что с открытия врядли кто-то куда-то сходу повезет, но тенденция очевидна - продавца, кто готов раздавать на таких уровнях просто нет, хоть это и очень высоко.

3. $GECO - пусть и третий эшелон, но смотрится красиво, я сам в позе остался. Там подтянули аккуратно под 50, вчера ..бачи попробовали пнуть выше, у них ничего не вышло, они быстренько залились, но сам факт остается - акция очень близка к своему ключевому сопротивлению и ниже сливать не хотят. Когда вниз не идет - время идти вверх.

Друзья, в целом рынок ожил, многие драйвят, что типа куда уж выше? Да какая разница куда? Есть баланс покупатель-продавец, щас еще народ зафиксирует прибыль по распискам переехавшим и начнет их вливать в широкий рынок, вроде $LKOH, или $MGNT и вот тогда тоже начнется бурное веселье. Хоть навес есть, но у него две стороны - он обронит котировки конкретной бумаги и отправит другие бумаги выше.

Помню, как в сентябре 22го сидели и неделями смотрели на падающий рынок, сейчас предпосылок для этого не видно.
Так что... торгуй пока молодой и рынок растет",$YNDX 
vadya93,https://www.tinkoff.ru/invest/social/profile/vadya93,94871,от 10000000,38735,231.5,2024-04-02 03:52,-1,"Друзья, мы вчера прорвались сквозь зону продаж и обновили в очередной раз максимумы, причем по IMOEX2 мы прошли аж больше 1 процента уверенного роста.

И вроде лонг и все дела, но есть нюанс, как в анекдоте про Петьку не очень приличном.... большинство акций первого эшелона настолько высоко, что не ясно, что мы будем делать когда Лукас или Магнит доползут до 8000. Ладно по Магниту там еще есть куда расти типа по технике, но Лукас... 

У нюанса есть обратная сторона - начинает газовать третий эшелон 
Я уже отвык его торговать, поскольку круто грузить по 120 миллионов в позицию, а там можно пол фри флоата так выкупить, но факт остается фактом - многое из того, что стояло на месте готово газануть.

Мне особо нечего вам подсветить из первого эшелона, я нигде чет там силы не вижу, ну либо есть сила и уже идет рост на ускорении. А рост на ускорении - это всегда признак скорого разворота. Чем выше скорость роста цены, тем выше кульминация.

Может это конечно связано с тем, что вчера чутка была эйфория и сегодня все будет ок, но ХЗ, ХЗ...

Короче - ноги в руки, смотрим за третьим эшелоном, там справитесь без меня, и чего... ничего, не налосите! ","MAGNIT

"
vadya93,https://www.tinkoff.ru/invest/social/profile/vadya93,94871,от 10000000,38735,231.5,2024-04-01 03:55,1,"Друзья, там фьюч на индекс растет на 0,3 процента, так что индекс откроется гэпом вверх.

В этой связи чет подсвечивать не буду - слишком все смотрится позитивно, может быть оперативный кукан 

Я сам не люблю входить, когда выглядит все так позитивно, а поскольку вам я драйвлю ровно то, что делаю сам - то лучше сегодня воздержусь. 

У меня лично фулл депо $TRNFP, но это вы и так все видели, наверное она сегодня тоже поедет выше, но залетать сейчас, когда вплотную подошли к сопротивлению - дело темное.
Так что - сегодня просто помните, что все газует, но надо быть осторожными.)",TRNFP 
vadya93,https://www.tinkoff.ru/invest/social/profile/vadya93,94871,от 10000000,38735,231.5,2024-03-31 15:03,1,"ТОП-3 АКЦИИ: 6.000.000₽+ за март, а суммарно заработал больше 10.000.000!

Друзья, это был месяц, когда у меня первые плоды принесла стратегия по удержанию позиций. Я уже не просто скальпер, который просто скальпанул 3 копейки и убежал. Благодаря скальпингу я стал понимать, что стоило бы подержать позу и сделать профит больше) 

Порой я набирал гигантские позиции, рекорд — 300 000 лотов $EUTR . Загрузился почти как большой игрок, а получилось как большой ..бач (убыток более 2 миллионов по этой сделке). Ну и, к примеру, в эту пятницу я брал около 40т $TCSG , а потом залил в минус 400т, решив, что пока Тинек газовать не готов.

Поразительно оказалось, что топ-1 акция у меня за месяц — это новостная история. Я заработал 2,45 миллиона на шорте $LSRG и действовал ровно с тем алгоритмом, который давал вам.

Как было дело? Я знал, что ЛСРГ росла как сумасшедшая и буквально за месяц выросла более чем на 50 процентов. Весь месяц бродили слухи о каких-то безумных дивидендах, и я понимал, что либо дивиденды должны быть огромными, либо акция полетит вниз. Сразу как объявили 100р на акцию дивиденда, я шортанул 25т лотов, потом еще 5т добавил, в итоге — топ профит перед вами.

$QIWI — чисто скальп работа на волатильности. Весь телеграм стремительно отправлял Киви то в одну сторону, то в другую. Я в моменте набирал по 180т лотов и прекрасно раздавал по верхам.

$SVCB — история в самом начала месяца, когда я видел, что вот-вот и вынесут вверх. Так и получилось, все скальперы раздались через пол копейки, а я подержал до выноса до 19,5. Обратите внимание, что акция до сих пор не откатилась и регулярно подстреливает вверх. 

Друзья, для меня было открытием, что крупные игроки подстраиваются под таких мелких ребят как я, и больше не хотят возить их сходу, а делают все, чтобы вышли, а затем можно и присоединяться. Рынок все более становится рынком ожидания, когда в моменте ничего не происходит или у тебя какой-то незначительный минус, вроде 1-2 процентов, а потом позиция может улететь на 10 процентов.

Но я все еще не среднесрочник и не собираюсь им становится — свои навыки скальпера я просто пустил в другое русло и у меня это действительно получается.

Как у вас месяцок?",$SVCB 
