"<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>"
"AFKS,D,20140317,000000,31.8000000,34.4300000,30.4240000,32.9000000,13405500"
"AFKS,D,20140318,000000,33.1500000,36.9410000,33.0850000,36.0580000,6048000"
"AFKS,D,20140319,000000,36.4190000,37.1500000,34.4170000,34.9160000,5902900"
"AFKS,D,20140320,000000,34.0400000,35.7880000,33.6100000,35.7000000,3864600"
"AFKS,D,20140321,000000,34.0560000,35.3850000,33.5700000,34.8700000,7383400"
"AFKS,D,20140324,000000,34.3870000,35.6870000,34.3870000,34.9970000,4489500"
"AFKS,D,20140325,000000,35.1980000,36.0790000,34.4110000,35.9410000,6628600"
"AFKS,D,20140326,000000,36.1020000,36.9960000,35.0690000,36.0000000,6575400"
"AFKS,D,20140327,000000,35.5910000,36.4460000,34.4200000,35.4400000,1893500"
"AFKS,D,20140328,000000,35.4900000,35.8900000,34.0000000,35.4550000,2859900"
"AFKS,D,20140331,000000,35.3990000,36.1840000,35.0500000,35.7000000,4703200"
"AFKS,D,20140401,000000,35.7890000,37.1500000,35.2520000,37.1500000,3312100"
"AFKS,D,20140402,000000,36.9410000,37.7890000,35.8610000,37.1000000,7685600"
"AFKS,D,20140403,000000,37.1470000,38.8240000,37.1470000,38.1000000,12616100"
"AFKS,D,20140404,000000,38.1030000,39.0940000,37.5620000,39.0940000,5099600"
"AFKS,D,20140407,000000,38.9000000,39.0980000,37.0520000,38.7000000,4553300"
"AFKS,D,20140408,000000,38.2110000,39.5000000,38.2110000,39.5000000,5055900"
"AFKS,D,20140409,000000,39.4000000,40.7700000,39.3020000,40.4500000,2594200"
"AFKS,D,20140410,000000,40.6670000,40.8860000,39.6910000,40.1500000,2904200"
"AFKS,D,20140411,000000,39.3900000,43.0000000,38.8800000,39.3500000,2508000"
"AFKS,D,20140414,000000,38.8030000,39.0000000,38.0480000,38.2500000,1367800"
"AFKS,D,20140415,000000,37.8680000,38.4990000,36.3810000,36.9500000,2974900"
"AFKS,D,20140416,000000,36.7520000,37.7000000,36.5010000,37.5000000,1511400"
"AFKS,D,20140417,000000,37.6900000,38.4610000,37.4190000,38.4610000,1661000"
"AFKS,D,20140418,000000,39.1470000,41.0000000,39.1310000,39.4500000,1898100"
"AFKS,D,20140421,000000,39.3900000,39.4390000,38.3120000,38.8000000,1295600"
"AFKS,D,20140422,000000,38.9750000,39.0850000,37.5300000,38.7000000,4271600"
"AFKS,D,20140423,000000,38.8240000,39.9000000,38.7000000,39.5000000,2655600"
"AFKS,D,20140424,000000,39.2640000,39.7170000,37.4640000,38.0000000,3881200"
"AFKS,D,20140425,000000,37.5000000,38.2030000,36.3560000,37.3000000,3217200"
"AFKS,D,20140428,000000,36.8000000,36.8000000,35.0410000,36.7000000,10399400"
"AFKS,D,20140429,000000,36.8300000,37.5000000,36.5220000,37.0000000,3301800"
"AFKS,D,20140430,000000,36.9400000,37.2000000,36.5520000,37.1250000,3818900"
"AFKS,D,20140502,000000,36.9990000,37.6350000,36.8300000,37.2000000,1057400"
"AFKS,D,20140505,000000,37.3970000,37.4960000,36.2990000,36.8000000,1548000"
"AFKS,D,20140506,000000,37.0030000,37.1010000,36.0010000,36.5000000,2128400"
"AFKS,D,20140507,000000,36.1990000,37.9700000,35.9020000,37.8000000,4288700"
"AFKS,D,20140508,000000,37.7960000,39.0000000,37.3180000,38.1000000,2931300"
"AFKS,D,20140512,000000,37.8160000,37.8160000,37.0300000,37.4900000,3313300"
